weapon_id,country,weapon_name,alt_weapon_name,weapon_description
50,USA,96 LB FRAG (24X4 CLUSTERS),,Cluster bomb containing 24 M83 (butterfly) fragmentation bombs
51,New Zealand,350 LB DC,AN-Mk47,"""350 lb AN-Mk41, Mk44, or Mk47 Depth Bomb (Depth Charge)"""
52,New Zealand,650 LB DC,MK-29 or Mk37,650 lb Mk-29 or Mk37 Depth bomb (depth charge)
53,Great Britain,30 LB INCENDIARY,I.B 30-lb Mk I-IV,30 lb Type-J Mk-I Superflamer Incendiary bomb
54,Great Britain,4 LB INCENDIARY,4-lb In Mk I-V,4 lb Incendiary bomb
55,Great Britain,500 LB INCENDIARY,,Usually a cluster bomb containing 4 lb Mk-I-Vs
56,Great Britain,250 LB GP (GP-M57),,250 lb General Purpose
57,Great Britain,4000 LB GP (GP-M56),Mk I-VI,4000 lb Light Case ÒBlockbusterÓ or ÒCookieÓ
58,Great Britain,DUMMY PARATROOPS,Paradummy,ÒRupertÓ Paradummy was a fake paratrooper dropped to deceive the enemy
59,Great Britain,LEAFLET,,Bombs/containers used to dispense propaganda leaflets
